,Title,Desc,Type,BodyPart,Equipment,Level
1267,Barbell hip thrust-,the barbell hip thrust is a popular exercise that targets the posterior chain particularly the glutes and hamstrings it involves fully extending your hips while holding a weighted barbell across the front of the hips it is a great movement to activate the glutes prior to other lower body training but can also be performed in the main part of a workout or for high reps as a glute burnout ,Strength,Glutes,Body Only,Intermediate
1281,Total Fitness Bear Crawl,the bear crawl is a popular bodyweight crawling exercise while it looks simple the bear crawl is an intense full body movement that targets the cardiovascular system as well as a wide range of muscle groups the shoulders core and legs in particular it can be done as a full body warm up in short bursts for power or circuit training or for longer durations as cardiovascular conditioning ,Strength,Glutes,Body Only,Intermediate
1282,Pigeon stretch,the pigeon stretch is a lower body stretch targeting the glutes hips and piriformis it is similar to the pigeon pose from yoga but is also popular as part of dynamic warm ups or cool downs in strength training it can also be performed anytime to help combat training related soreness ,Strength,Glutes,Body Only,Intermediate
1283,Levitating side kick-through,the levitating side kick through is a full body movement that starts in a bear crawl position and ends with a leg kicked out to the side in between reps you kick into the air in a partial handstand it is commonly performed for reps or time in bodyweight circuits and animal style flows but can also work on its own or as part of a dynamic warm up or mobility sequence ,Strength,Glutes,Body Only,Intermediate
1285,Dumbbell single-leg hip thrust,the dumbbell single leg hip thrust is a single sided exercise that targets the posterior chain particularly the glutes and hamstrings it involves balancing on one foot and fully extending your hips while holding a dumbbell across the front of your hip it is a great movement to activate the glutes prior to other lower body training but can also be performed in the main part of a workout or for high reps as a glute burnout ,Strength,Glutes,Body Only,Intermediate
1286,Medicine ball duck walk,the medicine ball duck walk is a dynamic medicine ball movement that challenges both the upper and lower body while also elevating the heart rate it s a great movement to include in medicine ball or bodyweight circuit training to increase fatigue and burn serious calories while hammering the muscles of the legs ,Strength,Glutes,Medicine Ball,Intermediate
1287,Exercise ball hip thrust,the exercise ball hip thrust is a simple yet effective way to work the glutes and hamstrings proper form is essential to really feel the burn in the glutes and the ball can help guide you into the right form better than a bench which is the usual support for hip thrusts unlike the bench version the ball hip thrust is best performed with body weight or bands as resistance for safety reasons it can be an excellent component of a warm up for lower body training or a glute activation drill performed anytime ,Strength,Glutes,Exercise Ball,Intermediate
1292,Barbell Deadlift,the barbell deadlift is a compound exercise used to develop overall strength and size in the posterior chain it is a competition lift in the sport of powerlifting but is also considered a classic benchmark of overall strength when performed with the hands outside the knees it is often called a conventional deadlift when the feet are wide and the hands are inside the knees it is a sumo deadlift ,Strength,Hamstrings,Barbell,Intermediate
1294,Sumo deadlift,the sumo deadlift is a compound movement in which the feet are set in a wide stance with toes pointed out and grip is placed inside of the legs it is allowed to be performed instead of conventional deadlifts in most powerlifting competitions the sumo deadlift targets the hamstrings glutes and upper back traps but also has a greater emphasis on stretching and strengthening the adductor and hip muscles due to the wide stance ,Powerlifting,Hamstrings,Barbell,Beginner
1299,Power clean,the power clean is a full body movement in which the bar is pulled from the floor and caught in the front rack position in three pulls or phases the bar is received in the power position with the hips higher than a full depth squat position the power clean can be used as a component of the clean and press or clean and jerk but is also a valuable lift to build explosive power and strength ,Strength,Hamstrings,Barbell,Intermediate
1303,Good Morning,the barbell good morning is an exercise that targets glute hamstring and lower back development it is often trained as an accessory movement to the deadlift but also has value on its own it is sometimes performed for reps in traditional strength focused rep ranges such as 5 8 reps per set but due to the risk posed to the lower back is rarely treated as a max effort single rep lift ,Powerlifting,Hamstrings,Barbell,Intermediate
1304,Barbell stiff-legged deadlift,the barbell stiff legged deadlift targets the hamstrings glutes lower and upper back as well as the core it is a popular accessory movement for the deadlift but also a muscle building hamstring movement ,Strength,Hamstrings,Barbell,Intermediate
1305,Romanian Deadlift,the barbell stiff legged deadlift targets the hamstrings glutes lower and upper back as well as the core it is a popular accessory movement for the deadlift but also a muscle building hamstring movement ,Strength,Hamstrings,Barbell,Intermediate
1309,Stiff-Legged Deadlift,the barbell stiff legged deadlift targets the hamstrings glutes lower and upper back as well as the core it is a popular accessory movement for the deadlift but also a muscle building hamstring movement ,Strength,Hamstrings,Barbell,Beginner
1317,Kettlebell pass-through lunge,the kettlebell pass through lunge is a dynamic leg and core exercise in which a lifter passes a weight under their front leg during lunges it is a unique coordination challenge but also challenging to the musculature of the abdomen lower body shoulders and upper back it is most commonly performed for higher reps such as 10 15 reps per side or for time it can work in circuit style workouts or in lower body or full body time efficient training ,Strength,Hamstrings,Kettlebells,Intermediate
1318,Kettlebell One-Legged Deadlift,the kettlebell single leg deadlift is a variation on the kettlebell deadlift where one foot stays planted on the ground while the other raises into the air at the bottom of the movement it s popular in lower body training for strength and muscle building but also trains balance grip and the core muscles ,Strength,Hamstrings,Kettlebells,Intermediate
1319,Single-arm kettlebell clean,the single arm kettlebell clean is an explosive kettlebell exercise where the lifter pulls the weight to shoulder level in a single movement while the kettlebell clean is often used as a transitional movement into the press or front squat it is also a valuable strength and power exercise in its own right it can be performed in low rep ranges for strength or higher rep ranges for technique practice or muscle growth ,Strength,Hamstrings,Kettlebells,Beginner
1320,Single-leg kettlebell deadlift,the kettlebell single leg deadlift is a variation on the kettlebell deadlift where one foot stays planted on the ground while the other raises into the air at the bottom of the movement it s popular in lower body training for strength and muscle building but also trains balance grip and the core muscles ,Strength,Hamstrings,Kettlebells,Intermediate
1322,Single-arm kettlebell swing,the single arm kettlebell swing is a popular exercise emphasizing the muscles of the hamstrings glutes and back because you are only swinging with one arm at a time it is also uniquely challenging to the grip and core muscles it is often used to train explosive power for aerobic or cardiovascular conditioning or in circuit training ,Strength,Hamstrings,Kettlebells,Intermediate
1329,Romanian Deadlift With Dumbbells,the dumbbell stiff legged deadlift targets the hamstrings glutes low and upper back as well as the core the purpose of the stiff legged as opposed to romanian deadlift with slightly bent knees is to engage the hamstrings and low back to an even greater degree ,Strength,Hamstrings,Dumbbell,Beginner
1330,Stiff-Legged Dumbbell Deadlift,the dumbbell stiff legged deadlift targets the hamstrings glutes low and upper back as well as the core the purpose of the stiff legged as opposed to romanian deadlift with slightly bent knees is to engage the hamstrings and low back to an even greater degree ,Strength,Hamstrings,Dumbbell,Intermediate
1335,Box jump,the box jump is an explosive exercise that strengthens the muscles of the lower body including the quads glutes calves and hamstrings they also develop power in the lower body while revving the heart rate box jumps can be performed for low reps to focus on strength and power or for higher reps for metabolic conditioning most coaches recommend stepping down rather than jumping down between reps ,Plyometrics,Hamstrings,Other,Beginner
1336,Box Jump (Multiple Response),the box jump is a plyometric exercise that strengthens the muscles of the lower body including the quads glutes calves and hamstrings they also develop power in the lower body while revving the heart rate ,Plyometrics,Hamstrings,Other,Intermediate
1337,Sled push-,the sled push is a conditioning exercise that targets the cardiovascular system and the muscles of the lower body it involves pushing a sled along turf or another flat surface either for time or distance depending on your type of equipment you may be pushing handles or straps in front of the sled it can be used as part of a dynamic warm up or for power training as a finisher or as part of a conditioning workout or circuit ,Cardio,Hamstrings,Other,Beginner
1344,Hamstring slide,the hamstring slide is a bodyweight exercise targeting the hamstrings lying supine on a smooth surface bend your knees to pull both heels toward you the sliding action requires a pad cloth or furniture sliders under the heels these are considered more difficult than exercise ball hamstring curls and are a great primer movement before heavy squats or deadlifts or as an accessory movement later in a lower body workout ,Strength,Hamstrings,Other,Beginner
1346,Lying cable leg curl,the lying cable leg curl is a classic machine exercise for building greater muscle size and strength in the hamstrings it s easy to learn easy to master and poses little in the way of injury risk it is usually performed for moderate to high reps at least 8 12 reps per set as part of lower body training ,Strength,Hamstrings,Cable,Intermediate
1347,Standing cable leg curl,the standing cable leg curl is an isolation exercise for the hamstrings it is often used as a variation of leg curl machines and for working each side independently it is usually performed for moderate to high reps at least 8 12 reps per set as part of lower body training ,Strength,Hamstrings,Cable,Intermediate
1348,Lying Leg Curls,the lying leg curl is a popular machine based exercise for the legs particularly the hamstrings it is similar to the seated leg curl but the open hip angle in the lying leg curl may incorporate more glute and calf activation it is usually performed for moderate to high reps such as 8 12 reps per set or more as part of a leg pre exhaust or as a muscle building movement for lower body training ,Strength,Hamstrings,Machine,Beginner
1349,Glute Ham Raise,the glute ham raise is an exercise targeting the glutes and hamstrings on a ghd ,Powerlifting,Hamstrings,Machine,Intermediate
1351,Seated Leg Curl,the leg curl is a popular machine based exercise for the legs particularly the hamstrings it comes in seated and lying varieties but the seated leg curl machine is more common in commercial gyms leg curl variations are usually performed for moderate to high reps such as 8 12 reps per set or more as part of a leg pre exhaust or as a muscle building movement for lower body training ,Strength,Hamstrings,Machine,Intermediate
1353,Smith machine stiff-legged deadlift,the smith machine stiff legged deadlift is a machine based exercise targeting the muscles of the hamstrings glutes and upper back the smith machine mimics a barbell but provides more stability this movement can be programmed like a traditional stiff legged or romanian deadlift in low reps for strength or higher reps for muscle and strength endurance it is often performed for moderate to high reps such as 8 12 reps per set or more as part of a full body or lower body workout ,Strength,Hamstrings,Machine,Beginner
1354,Lying Leg Curl - Gethin Variation,the lying leg curl is a popular machine based exercise for the legs particularly the hamstrings it is similar to the seated leg curl but the open hip angle in the lying leg curl may incorporate more glute and calf activation it is usually performed for moderate to high reps such as 8 12 reps per set or more as part of a leg pre exhaust or as a muscle building movement for lower body training ,Strength,Hamstrings,Machine,Intermediate
1355,Paul Carter Leg Extension,the leg extension is an isolation exercise for the quads ,Strength,Hamstrings,Machine,Intermediate
1356,Lying leg curl,the lying leg curl is a popular machine based exercise for the legs particularly the hamstrings it is similar to the seated leg curl but the open hip angle in the lying leg curl may incorporate more glute and calf activation it is usually performed for moderate to high reps such as 8 12 reps per set or more as part of a leg pre exhaust or as a muscle building movement for lower body training ,Strength,Hamstrings,Machine,Intermediate
1357,Seated Hamstring Curl - Gethin Variation,the leg curl is a popular machine based exercise for the legs particularly the hamstrings it comes in seated and lying varieties but the seated leg curl machine is more common in commercial gyms leg curl variations are usually performed for moderate to high reps such as 8 12 reps per set or more as part of a leg pre exhaust or as a muscle building movement for lower body training ,Strength,Hamstrings,Machine,Intermediate
1358,Single-leg lying leg curl,the single leg lying leg curl is a popular machine based exercise for the legs particularly the hamstrings it is similar to the seated leg curl but the open hip angle in the lying leg curl may incorporate more glute and calf activation it is usually performed for moderate to high reps such as 8 12 reps per set or more as part of a leg pre exhaust or as a muscle building movement for lower body training performing it one leg a time allows you to focus on the mind muscle connection of each leg and address muscle imbalances ,Strength,Hamstrings,Machine,Intermediate
1359,Leg curl,the leg curl is a popular machine based exercise for the legs particularly the hamstrings it comes in seated and lying varieties but the seated leg curl machine is more common in commercial gyms leg curl variations are usually performed for moderate to high reps such as 8 12 reps per set or more as part of a leg pre exhaust or as a muscle building movement for lower body training ,Strength,Hamstrings,Machine,Intermediate
1360,Leg Extension - Gethin Variation,the leg extension is an isolation exercise for the quads ,Strength,Hamstrings,Machine,Intermediate
1361,Single-leg leg extension-,the single leg leg extension is a popular machine based exercise for the legs particularly the quadriceps it is usually performed for moderate to high reps such as 8 12 reps per set or more as part of a leg pre exhaust or as a muscle building movement for lower body training performing it one leg a time allows you to focus on the mind muscle connection of each leg and address muscle imbalances ,Strength,Hamstrings,Machine,Intermediate
1362,Lying Hamstring Curls - Gethin Variation,the lying leg curl is a popular machine based exercise for the legs particularly the hamstrings it is similar to the seated leg curl but the open hip angle in the lying leg curl may incorporate more glute and calf activation it is usually performed for moderate to high reps such as 8 12 reps per set or more as part of a leg pre exhaust or as a muscle building movement for lower body training ,Strength,Hamstrings,Machine,Intermediate
1363,AM Seated Hamstring Curl,the leg curl is a popular machine based exercise for the legs particularly the hamstrings it comes in seated and lying varieties but the seated leg curl machine is more common in commercial gyms leg curl variations are usually performed for moderate to high reps such as 8 12 reps per set or more as part of a leg pre exhaust or as a muscle building movement for lower body training ,Strength,Hamstrings,Machine,Intermediate
1364,UP Hamstring Curl,the lying leg curl is a popular machine based exercise for the legs particularly the hamstrings it is similar to the seated leg curl but the open hip angle in the lying leg curl may incorporate more glute and calf activation it is usually performed for moderate to high reps such as 8 12 reps per set or more as part of a leg pre exhaust or as a muscle building movement for lower body training ,Strength,Hamstrings,Machine,Intermediate
1367,Natural Glute Ham Raise,the glute ham raise is an exercise targeting the glutes and hamstrings on a ghd ,Strength,Hamstrings,Body Only,Beginner
1368,Standing leg swing,the standing leg swing is a dynamic stretching exercise that involves moving one leg up in front of you as if to punt an imaginary football this is a classic move for warming up the body and stretching the hamstrings ,Stretching,Hamstrings,Body Only,Beginner
1370,Knee Tuck Jump,the tuck jump is a vertical jump an explosive lower body exercise that is a common way to measure explosive hip and lower body strength in athletes the more explosive you are the higher you ll be able to jump ,Plyometrics,Hamstrings,Body Only,Intermediate
1372,Inchworm,the inchworm is a popular bodyweight exercise that involves walking the hands on the floor from a bent over toe touch position into a straight arm plank it is usually performed as part of a dynamic warm up to help raise core body temperature and limber up the body from head to toe ,Stretching,Hamstrings,Body Only,Beginner
1374,Lying groin stretch with band,the lying groin stretch with band is a simple way to stretch a chronically tight muscle group of the lower body it is common in stretching and yoga classes but can also be performed individually as part of a warm up paired with movements in a workout or as part of a cool down or recovery strategy ,Stretching,Hamstrings,Body Only,Intermediate
1376,World's greatest stretch,the world s greatest stretch is a popular movement that earned its name because it targets multiple parts of the body including the hips shoulders and thoracic spine in a single sequence this makes it a great dynamic warm up post workout stretch or mobility work you can do anytime ,Stretching,Hamstrings,Body Only,Intermediate
1384,Single-leg balance and reach,the single leg balance and reach is an exercise that focuses on lower body strength and stability ,Stretching,Hamstrings,Body Only,Beginner
1387,Standing hamstring stretch,the standing hamstring stretch is an exercise that stretches the hamstrings the muscles that cover the back of the thighs it involves looping a band around one foot and then pulling it which produces an intense stretch in the hamstrings it can be performed prior to training the lower body or playing sports or as a restorative stretch anytime ,Stretching,Hamstrings,Body Only,Intermediate
1388,Reverse lunge,the reverse lunge is a lower body exercise targeting the quads glutes and hamstrings the reverse lunge places more emphasis on the glutes than other lunge variations ,Stretching,Hamstrings,Body Only,Intermediate
1400,Total Fitness Hamstring Slide,the hamstring slide is a bodyweight exercise targeting the hamstrings lying supine on a smooth surface you bend your knees to pull both heels toward you the sliding action requires a pad cloth or furniture sliders under the heel these are considered more difficult than exercise ball hamstring curls and are a great primer movement before heavy squats or deadlifts or as an accessory movement later in a lower body workout ,Strength,Hamstrings,Body Only,Intermediate
1402,Glute ham raise-,the glute ham raise is an exercise targeting the glutes and hamstrings on a ghd or glute ham developer bench the unassisted version of the movement requires serious hamstring strength so it is more common to see versions that use a band or pvc pipe for assistance it is commonly performed as an accessory movement for heavy barbell lifts while a single rep may be a struggle at first with time strong athletes can build up to doing them for 8 12 reps per set ,Strength,Hamstrings,Body Only,Beginner
1403,Lying hamstring stretch with band,the lying hamstring stretch with band is a simple way to stretch a chronically tight muscle group of the lower body it is common in stretching and yoga classes but can also be performed individually as part of a warm up paired with movements in a workout or as part of a cool down or recovery strategy ,Stretching,Hamstrings,Body Only,Beginner
1406,Alternating lunge jump,the alternating lunge jump is an explosive bodyweight exercise that targets the lower body muscles including the quads glutes and hamstrings it can be performed for time or reps in power training and is also effective in any fat loss or athleticism focused workout ,Stretching,Hamstrings,Body Only,Beginner
1408,Exercise ball leg curl,the exercise ball leg curl is an exercise targeting the hamstrings in particular it targets the knee flexion function of the hamstrings as opposed to deadlift variations which target the other hamstring function hip flexion many lifters opt for this exercise when they don t have access to a lying leg curl machine but it is worth considering even if you already do machine curls ,Strength,Hamstrings,Exercise Ball,Intermediate
1409,Ball Hamstring Hat Trick,the exercise ball leg curl is an exercise targeting the hamstrings in particular it targets the knee flexion function of the hamstrings as opposed to deadlift variations which target the other hamstring function hip flexion many lifters opt for this exercise when they don t have access to a lying leg curl machine but it is worth considering even if you already do machine curls ,Strength,Hamstrings,Exercise Ball,Intermediate
1410,Band-assisted pull-up,the band assisted pull up is a variation of the pull up exercise in which the reps are performed with an elastic band looped around the feet or knees this reduces weight and resistance at the bottom of the rep while increasing it toward the top like other pull up variations it builds strength and muscle in the upper back biceps and core and is often used as a way to help people boost their pull up numbers or perform their first rep ,Strength,Lats,Bands,Intermediate
1411,Assisted Chin-Up,the reverse grip chin up is a variation of the pull up exercise in which the reps are performed with the palms facing toward the body in an underhand position with a band looped around the feet or knees this reduces weight and resistance at the bottom of the rep while increasing it toward the top like other pull up variations it builds strength and muscle in the upper back biceps and core but it utilizes the biceps slightly more than overhand band assisted pull ups ,Strength,Lats,Bands,Beginner
1416,Single-arm band low row,the single arm band low row is a single arm row variation utilizing a band for resistance that is anchored low it targets the muscles of the middle back like the lats latissimus dorsi and rhomboids but also the core it is usually performed for moderate to high reps at least 8 15 reps per set in the later stages of a back or upper body workout ,Strength,Lats,Bands,Intermediate
1417,Latissimus dorsi SMR,latissimus dorsi self myofascial release smr is a self administered soft tissue treatment for the upper body usually using a foam roller lacrosse ball or other trigger point massage tool by applying pressure strategically to the lat muscles of the mid back some people find they can cause this often painful and tight area to relax or release latissimus dorsi smr is often accompanied by smr on the pectorals or rhomboids or by stretches that target the lats ,Stretching,Lats,Foam Roll,Intermediate
1418,Bent-arm barbell pull-over,the bent arm barbell pull over was a staple exercise of the golden era of bodybuilding and a favorite of arnold schwarzenegger himself done properly the exercise targets the pecs lats and serratus anterior muscles old school bodybuilders would perform them with light weights for sets of 20 between sets of heavy 20 rep squats but pull overs are more popular today in moderate rep ranges such as 8 12 reps per set as part of an upper body workout ,Strength,Lats,Barbell,Intermediate
1419,Barbell pull-over to press,the barbell pull over to press is a complex that combines two popular exercises into one sequence that works much of the upper body particularly the chest triceps and serratus anterior muscles it is commonly performed with an ez bar but can also be performed with a straight bar or neutral grip bar because the pull over will determine the amount of weight you can use this movement is usually performed for moderate to high reps such as 8 12 reps per set or more as part of the upper body portion of a workout ,Strength,Lats,Barbell,Beginner
1420,Single-arm barbell bent-over row,the single arm barbell bent over row is a barbell exercise focused on the muscles of the middle back such as the lats latissimus dorsi and rhomboids it also targets the biceps and grip if the loose end of the barbell moves around it can be secured by placing it in the corner of a room ,Strength,Lats,Barbell,Intermediate
1422,Side kick-through to kettlebell high pull,the side kick through to kettlebell high pull is a combination of a popular bodyweight exercise and an explosive kettlebell movement between them the pairing targets the traps shoulders core hips hamstrings and glutes this combination can be performed for time or for reps often as circuit style training for conditioning or fat loss ,Strength,Lats,Kettlebells,Intermediate
1432,PJR pull-over-,the pjr pull over is a triceps focused version of the pull over exercise usually performed on either a flat or slightly inclined bench the low position of the movement stretches the triceps particularly the long head of the muscle while the top position is a triceps press that contracts all three heads it can be done in any type of strength or muscle focused workout in traditional muscle building rep ranges such as 8 12 reps or for higher reps ,Strength,Lats,Dumbbell,Intermediate
1433,Dumbbell seal row,the dumbbell seal row is a weighted exercise targeting the muscles of the middle back including the lats latissimus dorsi and rhomboids it can be performed on a special elevated bench on a bench placed on top of boxes or benches or on a bench with a slight incline the higher the bench the greater the range of motion and stretch at the bottom of the movement it is usually performed as an assistance movement for back strength and muscle growth in rep ranges of 8 12 reps per set or higher ,Strength,Lats,Dumbbell,Intermediate
1434,Incline Dumbbell Row - Gethin Variation,the incline dumbbell row is an upper body isolation exercise targeting the lower lats and upper back muscles ,Strength,Lats,Dumbbell,Intermediate
1435,FYR Bent-Over Dumbbell Row,the dumbbell bent over row is a popular exercise to develop and strengthen the muscles of the upper and middle back like the latissimus lat lower trapezius and rear deltoids it can work equally well in strength muscle building or circuit style fat loss workouts ,Strength,Lats,Dumbbell,Intermediate
1436,Straight-Arm Dumbbell Pull-Over - Gethin Variation,the straight arm dumbbell pull overpull over was a staple exercise of the golden era of bodybuilding and a favorite of arnold schwarzenegger himself done properly the exercise hits the bottom of the pecs the lats the abs and the triceps ,Strength,Lats,Dumbbell,Intermediate
1437,Bent-Over Dumbbell Row - Gethin Variation,the dumbbell bent over row is a popular exercise to develop and strengthen the muscles of the upper and middle back like the latissimus lat lower trapezius and rear deltoids it can work equally well in strength muscle building or circuit style fat loss workouts ,Strength,Lats,Dumbbell,Intermediate
1438,Bent-over dumbbell rear delt fly,the bent over dumbbell rear delt fly is a popular upper body exercise that targets the muscles on the back of the shoulder joint specifically the rear head of the deltoid since pressing movements build the front and to a lesser degree side deltoid heads this move is often done to promote balanced shoulder development it is usually performed for high reps such as 10 15 reps per set or more as part of a shoulder or upper body workout ,Strength,Lats,Dumbbell,Intermediate
1447,Total Fitness Dumbbell Isometric Row Hold,the dumbbell bent over row is a popular exercise to develop and strengthen the muscles of the upper and middle back like the latissimus lat lower trapezius and rear deltoids it can work equally well in strength muscle building or circuit style fat loss workouts ,Strength,Lats,Dumbbell,Intermediate
1448,Dumbbell renegade row,the dumbbell renegade row combines rowing and core training into a single difficult movement it s popular in time efficient strength and muscle building workouts as well as in circuit style training ,Strength,Lats,Dumbbell,Intermediate
1451,Weighted pull-up,the weighted pull up is a more advanced variation of the pull up exercise in which the lifter adds extra weight to their body options for adding weight include a dip belt weighted vest chains a dumbbell placed between the feet or legs or looping a kettlebell over the foot like other pull up variations the weighted pull up builds strength and muscle in the upper back biceps and core ,Strength,Lats,Other,Intermediate
1454,Floor rope climb,the floor rope climb is an exercise that involves performing partial rope climbs in a prone position with the feet on the floor it can help prepare someone for full rope climbs but also trains the muscles of the back biceps and grip it can be done for time or reps ,Strength,Lats,Other,Beginner
1456,Around-the-world pull-up,the around the world pull up is a more advanced version of the classic pull up it focuses stress more directly on the individual arms or sides of the back while also boosting the time under tension at the top of each rep it can be used as a progression toward a one arm pull up or simply as a way to increase the challenge and variety of your pull up training ,Strength,Lats,Other,Beginner
1457,L-sit chin-up,the l sit chin up is an exercise targeting the back biceps core and overall upper body strength it is considered significantly more difficult than standard chin ups and as such is often performed for relatively low reps such as 5 8 reps per set or less with a focus on strength and form ,Strength,Lats,Other,Beginner
1458,Back Flyes - Gethin Variation,the incline dumbbell reverse fly is an upper body exercise targeting the posterior or rear deltoids as well as the postural muscles of the upper back because it targets such small muscles this exercise is usually performed with light weight for high reps such as 10 15 reps per set or more ,Strength,Lats,Other,Intermediate
1459,Incline straight-arm pull-over,the incline straight arm pull over is an upper body exercise targeting the chest and lats latissimus dorsi performing it on an incline bench emphasizes the stretch on the chest in particular if this movement causes pain in the front of the shoulders perform it with a more limited range of motion or try pull overs using a high cable stack instead pull over variations are usually performed for moderate to high reps such as 8 12 reps per set or more as part of chest or back focused upper body training ,Strength,Lats,Other,Intermediate
1460,Machine high row,the machine high row is a machine based exercise targeting the back muscles including the lats rhomboids and middle and lower traps it approximates the motion of a free weight row but uses a selectorized weight stack or plate loaded machine many such machines also allow you to choose between different grips and grip widths machine rows are often done for moderate to high reps such as 8 12 reps per set or more as part of the upper body or back focused portion of a workout ,Strength,Lats,Other,Intermediate
1468,Standing dumbbell knee crunch,the standing dumbbell knee crunch is a great way to train the abs while standing up additionally the deltoids are worked because the lifter holds a pair of dumbbells overhead throughout ,Strength,Lats,Other,Intermediate
1469,Close-grip pull-down,the close grip pull down is a variation on the lat pull down that is performed with an overhand grip and the hands slightly closer than shoulder width apart this increases the range of motion beyond wider grips and may increase the time under tension in each rep this variation is usually performed for moderate to high reps as part of a back or upper body workout ,Strength,Lats,Cable,Intermediate
1470,Shotgun row,the shotgun row is a single arm row variation utilizing a cable stack in a staggered stance it targets the muscles of the middle back like the lats latissimus dorsi and rhomboids but also the core it is usually performed for moderate to high reps at least 8 15 reps per set in the later stages of a back or upper body workout ,Strength,Lats,Cable,Intermediate
1471,Close-Grip Front Lat Pulldown,the close grip pull down is a variation on the lat pull down acable based exercise machine that s ubiquitous in gyms around the world this back builder is easy to learn and highly effective allowing for variable resistance depending on where you place the pin in the stack ,Strength,Lats,Cable,Intermediate
1472,Straight-arm rope pull-down,the straight arm rope pull down is a variation of the straight arm lat pull down performed using a cable stack machine and a rope grip it can either be performed in an athletic upright stance or slightly bent over it both stretches and contracts the muscles of the lats latissimus dorsi as well as providing additional activation to the other upper back muscles and the core because the triceps are also isometrically involved in the movement it is usually performed for higher reps such as 8 15 reps or more ,Strength,Lats,Cable,Intermediate
1473,Lat pull-down,the lat pull down is a cable based exercise that s ubiquitous in gyms around the world this back builder is easy to learn and highly effective at building back size and strength it s usually trained in moderate to high reps such as 8 12 reps per set if grip strength is a limitation you can wear wrist straps ,Strength,Lats,Cable,Intermediate
1474,Straight-Arm Pulldown,the straight arm bar pull down is a variation of the straight arm lat pull down performed using a cable stack machine it can either be performed in an athletic upright stance or slightly bent over it both stretches and contracts the muscles of the lats latissimus dorsi as well as providing additional activation to the other upper back muscles and the core because the triceps are also isometrically involved in the movement it is usually performed for higher reps like 8 15 reps or above ,Strength,Lats,Cable,Intermediate
1475,Single-arm kneeling lat pull-down,the single arm kneeling lat pull down is a variation of the lat pull down exercise performed one arm at a time with the knees on the ground rather than sitting on a bench or machine it has all of the same benefits of a lat pull down performed on a bench or machine in addition to providing further activation to the core and lower body ,Strength,Lats,Cable,Beginner
1476,Elevated Cable Rows,the cable seated row is a popular exercise to train the muscles of the upper back including the lats latissimus dorsi traps rhomboids and rear deltoids using a cable stack it also targets the biceps to a lesser degree the cable row can work well in a variety of rep ranges but is most popular in muscle building workouts or as an accessory movement for strength workouts ,Strength,Lats,Cable,Beginner
1478,Kneeling lat pull-down,the kneeling lat pull down is a variation of the lat pull down exercise performed with the knees on the ground rather than sitting on a bench or machine it has all of the same benefits of a lat pull down performed on a bench or machine in addition to providing further activation to the core and lower body ,Strength,Lats,Cable,Intermediate
1479,Behind-the-neck pull-down,the behind the neck pull down is a cable exercise intended to target the muscles of the upper and middle back if you have the requisite shoulder mobility it can help you target the upper back muscles including the trapezius and rhomboids as well as the lats latissimus dorsi it is popular among elite bodybuilders and physique athletes but some coaches consider it unsafe to the shoulder joint particularly for people with existing shoulder problems ,Strength,Lats,Cable,Intermediate
1480,Straight-arm cable pull-over,the straight arm cable pull over is an exercise that focuses on the muscles of the lats latissimus dorsi and chest using a cable stack and a flat bench it is most commonly used for higher reps such as 10 15 or more in muscle building workouts it is also an effective substitute for dumbbell pull overs or a pull over machine if you don t have access to them or they aggravate your shoulders ,Strength,Lats,Cable,Intermediate
1481,Cable Straight-Arm Pulldown - Gethin Variation,the straight arm bar pull down is a variation of the straight arm lat pull down performed using a cable stack machine it can either be performed in an athletic upright stance or slightly bent over it both stretches and contracts the muscles of the lats latissimus dorsi as well as providing additional activation to the other upper back muscles and the core because the triceps are also isometrically involved in the movement it is usually performed for higher reps like 8 15 reps or above ,Strength,Lats,Cable,Intermediate
1482,Rope Lat Pull-down - Gethin Variation,the close grip pull down is a variation on the lat pull down acable based exercise machine that s ubiquitous in gyms around the world this back builder is easy to learn and highly effective allowing for variable resistance depending on where you place the pin in the stack ,Strength,Lats,Cable,Intermediate
1483,Straight-Arm Pull-Down - Gethin Variation,the straight arm bar pull down is a variation of the straight arm lat pull down performed using a cable stack machine it can either be performed in an athletic upright stance or slightly bent over it both stretches and contracts the muscles of the lats latissimus dorsi as well as providing additional activation to the other upper back muscles and the core because the triceps are also isometrically involved in the movement it is usually performed for higher reps like 8 15 reps or above ,Strength,Lats,Cable,Intermediate
1484,High-cable standing row,the high cable standing row is an exercise targeting the lats the high position allows for more engagement of the upper back as well specifically the rhomboids and teres major ,Strength,Lats,Cable,Intermediate
1485,Lat Pull-down - Gethin Variation,the lat pull down is a cable based exercise machine that s ubiquitous in gyms around the world this back builder is easy to learn and highly effective allowing for variable resistance depending on where you place the pin in the stack ,Strength,Lats,Cable,Intermediate
1486,Wide-Grip Lat Pull-Down - Gethin Variation,the lat pull down is a cable based exercise machine that s ubiquitous in gyms around the world this back builder is easy to learn and highly effective allowing for variable resistance depending on where you place the pin in the stack ,Strength,Lats,Cable,Intermediate
